"id","date.time","days","xCH4","cumvol","vol","norm.vol"
"3_22","2014-12-03 14:30:00",155.958333333333,0.650673492559156,5347.59485714336,148,133.39693896127
"3_22","2014-12-15 10:30:00",167.791666666667,0.650673492559156,5415.19465729265,75,67.5998001492924
"3_23","2014-07-01 13:00:00",0.854166666666667,0.30336090336576,81.1197601791509,90,81.1197601791509
"3_23","2014-07-02 13:00:00",1.85416666666667,0.31736478784825,155.028875009044,82,73.909114829893
"3_23","2014-07-03 11:15:00",2.78125,0.330347555753892,200.095408441906,50,45.0665334328616
"3_23","2014-07-04 14:45:00",3.92708333333333,0.335299115216998,241.556619200138,46,41.4612107582327
"3_23","2014-07-05 11:00:00",4.77083333333333,0.340970341777285,264.089885916569,25,22.5332667164308
"3_23","2014-07-06 13:00:00",5.85416666666667,0.342031306057587,283.017829958371,21,18.9279440418019
"3_23","2014-07-07 13:00:00",6.85416666666667,0.357752605195162,301.044443331516,20,18.0266133731446
"3_23","2014-07-10 14:00:00",9.89583333333333,0.389382578988522,347.913638101692,52,46.8691947701761
"3_23","2014-07-14 14:00:00",13.8958333333333,0.40566066179959,392.980171534553,50,45.0665334328616
"3_23","2014-07-17 10:00:00",16.7291666666667,0.440927181643004,425.428075606214,36,32.4479040716604
"3_23","2014-07-21 09:00:00",20.6875,0.480111424594932,497.534529098792,80,72.1064534925786
"3_23","2014-07-24 09:30:00",23.7083333333333,0.535485168070628,578.654289277943,90,81.1197601791509
"3_23","2014-07-31 13:00:00",30.8541666666667,0.672436278940516,867.080103248258,320,288.425813970314
"3_23","2014-08-07 11:00:00",37.7708333333333,0.76752814254036,1376.33193103959,565,509.251827791336
"3_23","2014-08-14 13:00:00",44.8541666666667,0.770214969022217,2043.31662584595,740,666.984694806352
"3_23","2014-08-21 11:00:00",51.7708333333333,0.761407877211781,2836.48761426431,880,793.170988418364
"3_23","2014-08-26 13:00:00",56.8541666666667,0.707196934121089,3485.44569569752,720,648.958081433207
"3_23","2014-08-28 09:30:00",58.7083333333333,0.687423270452762,3791.89812304098,340,306.452427343459
"3_23","2014-09-04 10:20:00",65.7430555555556,0.754644246959816,4247.07011071288,505,455.171987671902
"3_23","2014-09-10 14:10:00",71.9027777777778,0.711019855590132,4495.83737526227,276,248.767264549396
"3_23","2014-09-30 15:00:00",91.9375,0.692472094058616,4820.31641597888,360,324.479040716604
"3_23","2014-10-13 13:00:00",104.854166666667,0.632452536631048,5042.94509113722,247,222.628675158336
"3_23","2014-11-07 14:30:00",129.958333333333,0.415346305868994,5209.6912648388,185,166.746173701588
"3_23","2014-12-03 14:30:00",155.958333333333,0.616902695374055,5321.4562677523,124,111.765002913497
"3_23","2014-12-15 10:30:00",167.791666666667,0.616902695374055,5375.53610787173,60,54.0798401194339
"3_24","2014-07-01 13:00:00",0.854166666666667,0.293039389651777,81.1197601791509,90,81.1197601791509
"3_24","2014-07-02 13:00:00",1.85416666666667,0.30097481240419,157.732867015016,85,76.6131068358647
"3_24","2014-07-03 11:15:00",2.78125,0.308331610580907,202.799400447877,50,45.0665334328616
"3_24","2014-07-04 14:45:00",3.92708333333333,0.319345165342751,241.556619200138,43,38.757218752261
"3_24","2014-07-05 11:00:00",4.77083333333333,0.325476843749938,273.103192603141,35,31.5465734030031
"3_24","2014-07-06 13:00:00",5.85416666666667,0.327708368198939,291.129805976286,20,18.0266133731446
"3_24","2014-07-07 13:00:00",6.85416666666667,0.341247839141237,309.156419349431,20,18.0266133731446
"3_24","2014-07-10 14:00:00",9.89583333333333,0.367184324798006,351.518960776321,47,42.3625414268899
"3_24","2014-07-14 14:00:00",13.8958333333333,0.387516934325749,391.177510197239,44,39.6585494209182
"3_24","2014-07-17 10:00:00",16.7291666666667,0.412721008356468,420.02009159427,32,28.8425813970314
"3_24","2014-07-21 09:00:00",20.6875,0.429216522525357,460.579971683846,45,40.5598800895755
"3_24","2014-07-24 09:30:00",23.7083333333333,0.473993018317751,509.251827791336,54,48.6718561074905
"3_24","2014-07-31 13:00:00",30.8541666666667,0.592155197118382,680.50465483621,190,171.252827044874
"3_24","2014-08-07 11:00:00",37.7708333333333,0.738096208648531,1131.16998916483,500,450.665334328616
"3_24","2014-08-14 13:00:00",44.8541666666667,0.768221038773215,1689.99500373231,620,558.825014567484
"3_24","2014-08-21 11:00:00",51.7708333333333,0.756629161273809,2302.89985841923,680,612.904854686918
"3_24","2014-08-26 13:00:00",56.8541666666667,0.716874849214845,2951.85793985244,720,648.958081433207
"3_24","2014-08-28 09:30:00",58.7083333333333,0.70237430096383,3226.76379379289,305,274.905853940456
"3_24","2014-09-04 10:20:00",65.7430555555556,0.769099941222906,3799.10876839023,635,572.344974597342
"3_24","2014-09-10 14:10:00",71.9027777777778,0.769500167712863,4350.72313760846,612,551.614369218226
"3_24","2014-09-30 15:00:00",91.9375,0.691202034936264,4711.25540507135,400,360.532267462893
"3_24","2014-10-13 13:00:00",104.854166666667,0.630493877551545,4859.9749653998,165,148.719560328443
"3_24","2014-11-07 14:30:00",129.958333333333,0.631026005381905,5112.34755262382,280,252.372587224025
"3_24","2014-12-03 14:30:00",155.958333333333,0.609912147580717,5420.60264130459,342,308.255088680773
"3_24","2014-12-15 10:30:00",167.791666666667,0.609912147580717,5539.57828956735,132,118.975648262755
"3_25","2014-07-01 13:00:00",0.854166666666667,0.0244547099641686,81.1197601791509,90,81.1197601791509
"3_25","2014-07-02 13:00:00",1.85416666666667,0.0607166052474916,202.799400447877,135,121.679640268726
"3_25","2014-07-03 11:15:00",2.78125,0.094334403999739,261.385893910597,65,58.5864934627201
"3_25","2014-07-04 14:45:00",3.92708333333333,0.144231652920706,307.353758012116,51,45.9678641015188
"3_25","2014-07-05 11:00:00",4.77083333333333,0.143256359115611,338.900331415119,35,31.5465734030031
"3_25","2014-07-06 13:00:00",5.85416666666667,0.152393055791132,373.150896824094,38,34.2505654089748
"3_25","2014-07-07 13:00:00",6.85416666666667,0.157650516966338,396.585494209182,26,23.434597385088
"3_25","2014-07-10 14:00:00",9.89583333333333,0.181019014437638,441.652027642044,50,45.0665334328616
"3_25","2014-07-14 14:00:00",13.8958333333333,0.177760156125007,471.395939707732,33,29.7439120656887
"3_25","2014-07-17 10:00:00",16.7291666666667,0.206142787441943,479.507915725648,9,8.11197601791509
"3_25","2014-07-21 09:00:00",20.6875,0.207378573887242,491.225214418192,13,11.717298692544
"3_25","2014-07-24 09:30:00",23.7083333333333,0.215691683361463,500.238521104764,10,9.01330668657232
"3_25","2014-07-31 13:00:00",30.8541666666667,0.211348836174589,518.265134477909,20,18.0266133731446
"3_25","2014-08-07 11:00:00",37.7708333333333,0.256501421003099,545.305054537626,30,27.039920059717
"3_25","2014-08-14 13:00:00",44.8541666666667,0.337012596277065,599.384894657059,60,54.0798401194339
"3_25","2014-08-21 11:00:00",51.7708333333333,0.414955476020005,653.464734776493,60,54.0798401194339
"3_25","2014-08-28 09:30:00",58.7083333333333,0.434317801128416,689.517961522783,40,36.0532267462893
"3_25","2014-10-13 13:00:00",104.854166666667,0.692605664030548,1153.70325588126,515,464.185294358475
"3_25","2014-10-31 08:00:00",122.6875,0.73177794551055,1607.9739128845,504,454.270657003245
"3_25","2014-11-07 14:30:00",129.958333333333,0.747748887375644,1846.82654007867,265,238.852627194167
"3_25","2014-11-20 15:20:00",142.993055555556,0.774186778698316,2333.54510115357,540,486.718561074905
"3_25","2014-12-03 14:30:00",155.958333333333,0.780340403749317,3001.43112662858,741,667.886025475009
"3_25","2014-12-15 10:30:00",167.791666666667,0.780340403749317,3713.4823548678,790,712.051228239214
"3_26","2014-07-01 13:00:00",0.854166666666667,0.00241509771684444,91.0343975343805,101,91.0343975343805
"3_26","2014-07-02 13:00:00",1.85416666666667,0.0517962444486257,203.700731116534,125,112.666333582154
"3_26","2014-07-03 11:15:00",2.78125,0.0975766825645479,257.780571235968,60,54.0798401194339
"3_26","2014-07-04 14:45:00",3.92708333333333,0.14729122259891,298.340451325544,45,40.5598800895755
"3_26","2014-07-05 11:00:00",4.77083333333333,0.154576148477386,329.887024728547,35,31.5465734030031
"3_26","2014-07-06 13:00:00",5.85416666666667,0.152961297346635,361.43359813155,35,31.5465734030031
"3_26","2014-07-07 13:00:00",6.85416666666667,0.154435911932813,383.966864847981,25,22.5332667164308
"3_26","2014-07-10 14:00:00",9.89583333333333,0.169585626660602,427.230736943528,48,43.2638720955471
"3_26","2014-07-14 14:00:00",13.8958333333333,0.17679578891318,465.086625027132,42,37.8558880836038
"3_26","2014-07-17 10:00:00",16.7291666666667,0.213656521621951,476.803923719676,13,11.717298692544
"3_26","2014-07-21 09:00:00",20.6875,0.207153511407376,489.422553080877,14,12.6186293612013
"3_26","2014-07-24 09:30:00",23.7083333333333,0.214756421541524,498.435859767449,10,9.01330668657232
"3_26","2014-07-31 13:00:00",30.8541666666667,0.222123191311387,516.462473140594,20,18.0266133731446
"3_26","2014-08-07 11:00:00",37.7708333333333,0.248123048296484,529.982433170453,15,13.5199600298585
"3_26","2014-08-14 13:00:00",44.8541666666667,0.266523203642093,557.02235323017,30,27.039920059717
"3_26","2014-08-21 11:00:00",51.7708333333333,0.338304241396897,602.088886663031,50,45.0665334328616
"3_26","2014-08-28 09:30:00",58.7083333333333,0.406758266838926,656.168726782465,60,54.0798401194339
"3_26","2014-10-13 13:00:00",104.854166666667,0.694949756997904,1142.88728785737,540,486.718561074905
"3_26","2014-10-31 08:00:00",122.6875,0.719615640723269,1652.13911564871,565,509.251827791336
"3_26","2014-11-07 14:30:00",129.958333333333,0.729672175092606,1976.61815636531,360,324.479040716604
"3_26","2014-11-20 15:20:00",142.993055555556,0.773633968026451,2576.00305102237,665,599.384894657059
"3_26","2014-12-03 14:30:00",155.958333333333,0.766239905549927,3270.02766588844,770,694.024614866069
"3_26","2014-12-15 10:30:00",167.791666666667,0.766239905549927,3902.76179528582,702,632.734129397377
"3_27","2014-07-01 13:00:00",0.854166666666667,0.0182840093471801,79.3170988418364,88,79.3170988418364
"3_27","2014-07-02 13:00:00",1.85416666666667,0.059224059194048,214.516699140421,150,135.199600298585
"3_27","2014-07-03 11:15:00",2.78125,0.0971788970729151,288.425813970314,82,73.909114829893
"3_27","2014-07-04 14:45:00",3.92708333333333,0.147446985635609,326.281702053918,42,37.8558880836038
"3_27","2014-07-05 11:00:00",4.77083333333333,0.14736498906021,361.43359813155,39,35.1518960776321
"3_27","2014-07-06 13:00:00",5.85416666666667,0.150643940022681,392.980171534553,35,31.5465734030031
"3_27","2014-07-07 13:00:00",6.85416666666667,0.156638175508399,415.513438250984,25,22.5332667164308
"3_27","2014-07-10 14:00:00",9.89583333333333,0.172865644717557,459.678641015188,49,44.1652027642044
"3_27","2014-07-14 14:00:00",13.8958333333333,0.170837509891475,484.915899737591,28,25.2372587224025
"3_27","2014-07-17 10:00:00",16.7291666666667,0.189913553798619,495.731867761478,12,10.8159680238868
"3_27","2014-07-21 09:00:00",20.6875,0.197015468009373,507.449166454022,13,11.717298692544
"3_27","2014-07-24 09:30:00",23.7083333333333,0.207737653111645,516.462473140594,10,9.01330668657232
"3_27","2014-07-31 13:00:00",30.8541666666667,0.212648901301182,543.502393200311,30,27.039920059717
"3_27","2014-08-07 11:00:00",37.7708333333333,0.327010124036145,624.622153379462,90,81.1197601791509
"3_27","2014-08-14 13:00:00",44.8541666666667,0.457209868096833,750.808446991475,140,126.186293612013
"3_27","2014-08-21 11:00:00",51.7708333333333,0.457368097874828,806.690948448223,62,55.8825014567484
"3_27","2014-08-28 09:30:00",58.7083333333333,0.46812910322769,842.744175194512,40,36.0532267462893
"3_27","2014-10-13 13:00:00",104.854166666667,0.71831412400092,1320.44942958285,530,477.705254388333
"3_27","2014-10-31 08:00:00",122.6875,0.714068120722895,1707.1202864368,429,386.670856853953
"3_27","2014-11-07 14:30:00",129.958333333333,0.712336981535944,1949.57823630559,269,242.457949868795
"3_27","2014-11-20 15:20:00",142.993055555556,0.766379895192294,2404.7502239775,505,455.171987671902
"3_27","2014-12-03 14:30:00",155.958333333333,0.770075584868757,2999.62846529127,660,594.878241313773
"3_27","2014-12-15 10:30:00",167.791666666667,0.770075584868757,3539.52553581695,599,539.897070525682
"3_28","2014-07-01 13:00:00",0.854166666666667,0.637537228244417,216.319360477736,240,216.319360477736
"3_28","2014-07-02 13:00:00",1.85416666666667,0.60964935752852,469.593278370418,281,253.273917892682
"3_28","2014-07-03 11:15:00",2.78125,0.583794977385657,685.912638848154,240,216.319360477736
"3_28","2014-07-04 14:45:00",3.92708333333333,0.64367034396393,929.271919385606,270,243.359280537453
"3_28","2014-07-05 11:00:00",4.77083333333333,0.647397893020311,1132.07131983348,225,202.799400447877
"3_28","2014-07-06 13:00:00",5.85416666666667,0.695844136567896,1377.23326170825,272,245.161941874767
