"date","time","days","bottle","vol"
"26-06-2014","11:00",20.79,19,322
"26-06-2014","11:00",20.79,20,435
"26-06-2014","11:00",20.79,21,500
"26-06-2014","11:00",20.79,22,100
"26-06-2014","11:00",20.79,23,170
"26-06-2014","11:00",20.79,24,90
"26-06-2014","11:00",20.9,1,115
"26-06-2014","11:00",20.9,2,120
"26-06-2014","11:00",20.9,3,118
"26-06-2014","11:00",20.9,4,190
"26-06-2014","11:00",20.9,5,200
"26-06-2014","11:00",20.9,6,200
"26-06-2014","11:00",20.9,7,207
"26-06-2014","11:00",20.9,8,220
"26-06-2014","11:00",20.9,9,226
"26-06-2014","11:00",20.9,10,150
"26-06-2014","11:00",20.9,11,150
"26-06-2014","11:00",20.9,12,170
"30-06-2014","13:00",24.88,13,140
"30-06-2014","13:00",24.88,14,112
"30-06-2014","13:00",24.88,15,140
"30-06-2014","13:00",24.88,16,402
"30-06-2014","13:00",24.88,17,413
"30-06-2014","13:00",24.88,18,380
"30-06-2014","13:00",24.88,19,327
"30-06-2014","13:00",24.88,20,365
"30-06-2014","13:00",24.88,21,373
"30-06-2014","13:00",24.88,22,86
"30-06-2014","13:00",24.88,23,115
"30-06-2014","13:00",24.88,24,86
"30-06-2014","13:00",24.98,1,145
"30-06-2014","13:00",24.98,2,160
"30-06-2014","13:00",24.98,3,150
"30-06-2014","13:00",24.98,4,225
"30-06-2014","13:00",24.98,5,240
"30-06-2014","13:00",24.98,6,225
"30-06-2014","13:00",24.98,7,240
"30-06-2014","13:00",24.98,8,240
"30-06-2014","13:00",24.98,9,255
"30-06-2014","13:00",24.98,10,175
"30-06-2014","13:00",24.98,11,170
"30-06-2014","13:00",24.98,12,175
"03-07-2014","10:00",27.75,13,63
"03-07-2014","10:00",27.75,14,60
"03-07-2014","10:00",27.75,15,70
"03-07-2014","10:00",27.75,16,247
"03-07-2014","10:00",27.75,17,250
"03-07-2014","10:00",27.75,18,240
"03-07-2014","10:00",27.75,19,308
"03-07-2014","10:00",27.75,20,325
"03-07-2014","10:00",27.75,21,350
"03-07-2014","10:00",27.75,22,52
"03-07-2014","10:00",27.75,23,60
"03-07-2014","10:00",27.75,24,52
"03-07-2014","10:00",27.85,1,110
"03-07-2014","10:00",27.85,2,120
"03-07-2014","10:00",27.85,3,113
"03-07-2014","10:00",27.85,4,160
"03-07-2014","10:00",27.85,5,165
"03-07-2014","10:00",27.85,6,175
"03-07-2014","10:00",27.85,7,170
"03-07-2014","10:00",27.85,8,175
"03-07-2014","10:00",27.85,9,178
"03-07-2014","10:00",27.85,10,120
"03-07-2014","10:00",27.85,11,120
"03-07-2014","10:00",27.85,12,125
"10-07-2014","9:00",34.71,13,106
"10-07-2014","9:00",34.71,14,120
"10-07-2014","9:00",34.71,15,124
"10-07-2014","9:00",34.71,16,840
"10-07-2014","9:00",34.71,17,722
"10-07-2014","9:00",34.71,18,735
"10-07-2014","9:00",34.71,19,789
"10-07-2014","9:00",34.71,20,760
"10-07-2014","9:00",34.71,21,678
"10-07-2014","9:00",34.71,22,100
"10-07-2014","9:00",34.71,23,102
"10-07-2014","9:00",34.71,24,100
"10-07-2014","9:00",34.81,1,210
"10-07-2014","9:00",34.81,2,239
"10-07-2014","9:00",34.81,3,219
"10-07-2014","9:00",34.81,4,340
"10-07-2014","9:00",34.81,5,359
"10-07-2014","9:00",34.81,6,367
"10-07-2014","9:00",34.81,7,318
"10-07-2014","9:00",34.81,8,329
"10-07-2014","9:00",34.81,9,326
"10-07-2014","9:00",34.81,10,265
"10-07-2014","9:00",34.81,11,273
"10-07-2014","9:00",34.81,12,261
"11-07-2014","12:15",35.84,16,249
"11-07-2014","12:15",35.84,17,228
"11-07-2014","12:15",35.84,18,240
"11-07-2014","12:15",35.84,19,177
"11-07-2014","12:15",35.84,20,229
"11-07-2014","12:15",35.84,21,192
"13-07-2014","14:00",37.92,16,479
"13-07-2014","14:00",37.92,17,392
"13-07-2014","14:00",37.92,18,459
"13-07-2014","14:00",37.92,19,283
"13-07-2014","14:00",37.92,20,371
"13-07-2014","14:00",37.92,21,322
"13-07-2014","14:00",38.02,1,122
"13-07-2014","14:00",38.02,2,138
"13-07-2014","14:00",38.02,3,138
"13-07-2014","14:00",38.02,4,203
"13-07-2014","14:00",38.02,5,184
"13-07-2014","14:00",38.02,6,200
"13-07-2014","14:00",38.02,7,179
"13-07-2014","14:00",38.02,8,178
"13-07-2014","14:00",38.02,9,200
"13-07-2014","14:00",38.02,10,170
"13-07-2014","14:00",38.02,11,172
"13-07-2014","14:00",38.02,12,168
"15-07-2014","14:00",39.92,16,522
"15-07-2014","14:00",39.92,17,385
"15-07-2014","14:00",39.92,18,480
"15-07-2014","14:00",39.92,19,278
"15-07-2014","14:00",39.92,20,320
"15-07-2014","14:00",39.92,21,322
"17-07-2014","13:30",41.9,13,120
"17-07-2014","13:30",41.9,14,125
"17-07-2014","13:30",41.9,15,140
"17-07-2014","13:30",41.9,16,523
"17-07-2014","13:30",41.9,17,420
"17-07-2014","13:30",41.9,18,440
"17-07-2014","13:30",41.9,19,292
"17-07-2014","13:30",41.9,20,330
"17-07-2014","13:30",41.9,21,330
"17-07-2014","13:30",41.9,22,97
"17-07-2014","13:30",41.9,23,120
"17-07-2014","13:30",41.9,24,102
"17-07-2014","13:30",42,1,125
"17-07-2014","13:30",42,2,140
"17-07-2014","13:30",42,3,130
"17-07-2014","13:30",42,4,190
"17-07-2014","13:30",42,5,200
"17-07-2014","13:30",42,6,190
"17-07-2014","13:30",42,7,180
"17-07-2014","13:30",42,8,185
"17-07-2014","13:30",42,9,180
"17-07-2014","13:30",42,10,166
"17-07-2014","13:30",42,11,163
"17-07-2014","13:30",42,12,160
"24-07-2014","10:00",48.75,13,95
"24-07-2014","10:00",48.75,14,110
"24-07-2014","10:00",48.75,15,130
"24-07-2014","10:00",48.75,16,460
"24-07-2014","10:00",48.75,17,560
"24-07-2014","10:00",48.75,18,560
"24-07-2014","10:00",48.75,19,515
"24-07-2014","10:00",48.75,20,622
"24-07-2014","10:00",48.75,21,655
"24-07-2014","10:00",48.75,22,100
"24-07-2014","10:00",48.75,23,152
"24-07-2014","10:00",48.75,24,110
"24-07-2014","10:00",48.85,1,180
"24-07-2014","10:00",48.85,2,200
"24-07-2014","10:00",48.85,3,175
"24-07-2014","10:00",48.85,4,282
"24-07-2014","10:00",48.85,5,270
"24-07-2014","10:00",48.85,6,300
"24-07-2014","10:00",48.85,7,320
"24-07-2014","10:00",48.85,8,310
"24-07-2014","10:00",48.85,9,320
"24-07-2014","10:00",48.85,10,230
